,Ngày,Tổng,,,Regular,,,,,Exceptional,,,,Xuất bản,,,Phát sinh,
,,,Ship cho đại lý,VAT,Helper,Vật liệu gói,Đồ dùng office,Chi phí đi lại/ăn uống,Đặt sách,Project,Vận chuyển,Website,Công việc,Phí XB,In,Dịch,phí hoàn sách,Văn phòng
,ship anh Thông - 1 thùng ĐCH bản thường,,"50,000 ₫",,,,,,,,,,,,,,,
,ship dsq ba lan,,"23,000 ₫",,,,,,,,,,,,,,,
,ship ĐT,,"33,000 ₫",,,,,,,,,,,,,,,
,ship ĐT,,"21,000 ₫",,,,,,,,,,,,,,,
,ship ĐT,,"44,000 ₫",,,,,,,,,,,,,,,
,ship ĐT,,"41,000 ₫",,,,,,,,,,,,,,,
,ship ĐT,,"36,000 ₫",,,,,,,,,,,,,,,
,ship ĐT,,"30,000 ₫",,,,,,,,,,,,,,,
,ship ĐT,,"31,000 ₫",,,,,,,,,,,,,,,
,xóp nổ,,,,,"160,000 ₫",,,,,,,,,,,,
,nộp hồ sơ bảo hiểm xh,,,,,,,,,,,,"600,000 ₫",,,,,
,ship hồ sơ cho thanh kế toán,,"42,000 ₫",,,,,,,,,,,,,,,
,ship sách lưu chiểu từ nhà in,,"96,000 ₫",,,,,,,,,"450,000 ₫",,,,,,
,mua tên miền formaform,,,,,,,,,,,,,,,,,
,,,"42,000 ₫",,,,,,,,,,,,,,,
,,,"29,000 ₫",,,,,,,,,,,,,,,
,,,"15,000 ₫",,,,,,,,,,,,,,,
,cà phê,,,,,,,"40,000 ₫",,,,,,,,,,
,mua sách ,,,,,,,,"220,000 ₫",,,,,,,,,
,đặt con dấu vitanova,,,,,,"505,000 ₫",,,,,,,,,,,
,,,"51,000 ₫",,,,,,,,,,,,,,,
,,,"16,000 ₫",,,,,,,,,,,,,,,
,tiền thuê người trông kho x5ngayf,,,,"500,000 ₫",,,,,,,,,,,,,
,,,"66,000 ₫",,,,,,,,,,,,,,,
,,,"18,000 ₫",,,,,,,,,,,,,,,
,,,"38,000 ₫",,,,,,,,,,,,,,,
